LOCALIDADES,La Ermita (Nueva Jerusaln),Tecario,Zipiajo,Huaniqueo de Morales,Erongarcuaro,Santa Mara Huiramangaro (San Juan Tumbio),Urutaro,San Nicols Obispo,Quinceo,Arantepacua,Fraccionamiento Puerta del Sol,Campestre Tarmbaro,Jarcuaro,Ziracuaretiro,Puerto de Buenavista (Lzaro Crdenas),Zirahun,Galeana,Huiramba,Colonia Vista Bella (Lomas del Peaje),Zurumbeneo,Copndaro de Galeana,Naranja de Tapia,Tirndaro,Nocuptaro de Morelos,Sevina,Turcuaro,Tzintzuntzan,Ihuatzio,Santa Rosa (Santa Brbara),Toreo Bajo (El Toreo Bajo),Carcuaro de Morelos,Tjaro de los Izquierdo,Coeneo de la Libertad,San Antonio,Real Hacienda (Metrpolis),San Lorenzo,Villachuato,Cuto del Porvenir,Jess del Monte (La Capilla),Villa Jimnez,Villas de la Loma,San ngel Zurumucapio,Villa Magna,Cuanajo,Comachun,Santa Fe de la Laguna,San Francisco Pichtaro,Angamacutiro de la Unin,Capula,Caltzontzin,Charo,Panindcuaro,Fraccionamiento Metrpolis II,Fraccionamiento Galaxia Tarmbaro,Tarmbaro,Pedernales,La Aldea,Taretan,Villa Madero,Acuitzio del Canje,Huandacareo,Indaparapeo,Puruarn,Capcuaro,Tingambato,Fraccionamiento Misin del Valle,lvaro Obregn,Opopeo,Nahuatzen,Conjunto Habitacional Villas del Pedregal,Morelos,Chern,Santa Clara del Cobre,Quiroga,Nuevo San Juan Parangaricutiro,Ario de Rosales,Paracho de Verduzco,Tacmbaro de Codallos,Purundiro,Zacapu,Ptzcuaro,Uruapan,Morelia, 
La Ermita (Nueva Jerusaln),0,31.28,138.7,149.427,92.029,74.923,119.592,103.169,110.985,106.471,113.313,115.052,87.635,102.155,111.866,64.239,183.445,88.124,65.49,128.714,135.518,129.957,126.655,84.951,96.999,101.058,88.614,85.878,113.283,109.265,91.026,125.298,134.871,100.144,109.457,131.205,180.147,124.254,108.991,148.57,105.72,90.277,112.12,75.62,95.696,126.245,83.859,180.096,106.106,106.437,122.377,156.049,110.79,111.427,118.358,11.666,112.798,92.854,64.519,72.761,150.951,131.903,3.096,130.2,87.869,116.489,126.275,56.147,100.881,107.752,96.275,106.406,50.267,96.016,124.636,36.44,146.617,28.224,184.968,135.411,71.092,113.126,102.789, 
Tecario,31.28,0,107.432,118.159,60.761,48.116,107.402,90.98,84.178,79.664,101.123,102.862,56.367,77.584,99.677,37.432,152.177,56.855,34.221,116.525,123.328,98.689,95.387,77.943,70.192,74.251,57.346,54.61,91.917,83.052,84.018,113.108,103.603,87.955,97.267,109.839,148.879,112.064,96.802,117.302,93.531,71.05,80.851,44.352,68.889,94.977,57.052,148.828,74.837,85.071,110.188,124.781,98.6,99.237,106.168,26.4,100.609,86.331,44.197,52.439,138.761,119.714,28.606,108.834,61.062,104.3,114.085,24.688,74.074,84.763,84.086,79.599,22.855,64.748,103.27,20.5,125.251,13.911,153.7,104.143,39.824,91.76,90.599, 
Zipiajo,138.7,107.432,0,16.299,59.598,87.91,88.339,50.808,70.17,65.655,80.336,77.532,66.823,108.179,66.8,86.914,71.801,70.731,72.52,113.796,66.657,28.827,25.525,173.373,60.138,69.181,50.04,63.296,122.513,122.847,179.448,73.051,6.097,58.215,79.782,117.383,68.503,62.003,67.209,50.67,54.216,101.646,43.609,79.32,69.126,39.819,59.149,68.452,64.386,115.666,107.459,44.405,81.115,81.351,73.087,140.248,80.092,116.926,101.098,83.177,81.362,88.721,130.758,110.759,100.856,80.007,81.731,83.345,56.224,47.521,59.842,59.52,88,44.115,134.446,114.069,93.453,122.864,56.022,34.281,67.064,122.355,57.126, 
Huaniqueo de Morales,149.427,118.159,16.299,0,70.241,98.553,73.685,46.676,80.813,76.298,65.682,62.878,77.466,118.822,74.487,97.557,60.225,61.944,82.901,99.142,52.003,39.47,36.168,166.686,70.781,79.824,60.683,73.939,133.156,133.49,172.761,58.397,15.222,54.083,65.128,128.026,56.927,47.349,77.641,39.094,50.084,112.289,39.477,74.684,79.769,50.462,69.792,56.876,44.053,126.309,92.805,32.829,66.461,66.697,58.433,136.997,65.438,127.569,94.411,76.49,66.708,74.067,141.139,121.402,111.499,65.353,67.077,93.726,66.867,43.389,55.71,70.163,98.381,54.758,145.089,124.45,104.096,119.613,40.116,51.203,77.707,132.998,69.54, 
Erongarcuaro,92.029,60.761,59.598,70.241,0,18.559,88.684,60.328,52.757,48.243,82.405,84.144,7.225,52.712,80.959,31.447,85.568,38.137,25.347,97.807,104.61,32.08,28.778,144.516,30.836,42.83,32.994,30.258,67.046,53.853,150.591,94.39,45.122,69.237,78.549,78.705,82.27,93.346,78.084,50.693,67.321,46.179,56.714,38.628,37.468,26.133,25.632,82.219,50.7,60.199,91.47,58.172,79.882,80.519,87.45,93.075,81.891,61.459,72.241,54.32,120.043,100.996,83.585,77.7,31.862,85.582,95.367,36.172,34.718,60.626,65.368,40.243,40.827,30.429,78.398,66.896,52.286,75.691,95.695,37.534,20.385,66.888,71.881, 
Santa Mara Huiramangaro (San Juan Tumbio),74.923,48.116,87.91,98.553,18.559,0,92.394,75.972,36.638,32.124,86.115,87.854,15.244,33.7,84.669,10.749,94.637,41.847,23.63,101.517,108.32,40.784,43.338,148.226,22.653,26.711,37.867,35.131,47.049,38.267,154.301,98.1,65.16,72.947,82.259,63.119,91.339,97.056,81.794,59.762,78.523,27.167,65.843,33.621,21.349,45.248,9.513,91.288,59.829,41.187,95.18,67.241,83.592,84.229,91.16,91.358,85.601,42.447,75.951,58.03,123.753,104.706,77.601,62.114,16.276,89.292,99.077,29.909,26.535,69.755,69.078,32.06,26.23,45.269,58.478,50.108,44.103,73.974,104.764,46.603,25.258,46.968,75.591, 
Urutaro,119.592,107.402,88.339,73.685,88.684,92.394,0,35.274,129.325,124.811,14.224,5.028,86.102,112.813,23.029,92.268,116.27,52.021,72.977,27.292,25.102,92.918,89.616,138.839,115.339,119.398,64.726,77.26,127.147,123.128,144.914,5.595,71.53,27.826,13.67,145.069,112.972,13.839,26.183,95.139,28.139,106.28,33.432,64.761,114.036,89.206,102.199,112.921,38.008,120.3,20.955,88.874,15.003,15.239,14.076,109.15,10.475,121.56,66.564,48.643,40.536,17.933,117.282,144.064,106.209,6.7,7.042,83.802,119.221,30.172,26.37,124.746,88.457,57.78,138.499,114.526,160.481,91.766,100.77,98.371,73.477,126.989,18.082, 
San Nicols Obispo,103.169,90.98,50.808,46.676,60.328,75.972,35.274,0,112.038,107.524,29.252,30.019,68.815,95.526,26.833,74.981,103.069,34.734,55.69,43.681,50.485,65.271,61.969,121.552,98.052,102.111,37.079,50.335,109.86,105.841,127.627,40.265,70.185,14.987,25.396,127.782,99.771,39.221,23.958,83.883,11.881,88.993,9.371,47.474,96.749,61.559,84.912,99.72,10.361,103.013,37.344,75.673,26.729,27.366,33.325,91.863,27.765,104.273,49.277,31.356,65.918,46.87,99.995,126.777,88.922,31.456,41.242,66.515,101.934,13.282,10.576,95.964,71.17,30.133,121.212,97.239,129.896,74.479,87.29,70.724,56.19,109.702,17.546, 
Quinceo,110.985,84.178,70.17,80.813,52.757,36.638,129.325,112.038,0,4.514,122.178,123.917,49.412,45.683,120.732,46.812,96.493,77.91,59.693,137.58,144.383,42.64,45.194,184.289,16.396,9.927,73.93,71.194,36.936,32.995,190.364,134.163,67.016,109.01,118.322,16.295,93.195,133.119,117.857,61.618,114.586,49.816,101.906,69.684,15.289,72.968,26.918,93.144,95.892,34.113,131.243,69.097,119.655,120.292,127.223,127.421,121.664,50.973,112.014,94.093,159.816,140.769,113.664,9.672,55.725,125.355,135.14,65.972,14.384,105.818,105.141,19.909,62.293,77.263,33.358,86.171,23.736,110.037,106.62,48.459,61.321,31.403,111.654, 
Arantepacua,106.471,79.664,65.655,76.298,48.243,32.124,124.811,107.524,4.514,0,117.664,119.403,44.898,49.697,116.218,42.298,91.979,73.396,55.179,133.066,139.869,38.126,40.68,179.775,11.882,5.413,69.416,66.68,40.95,37.009,185.85,129.649,62.502,104.496,113.808,20.309,88.681,128.605,113.343,57.104,110.072,53.83,97.392,65.17,10.775,68.454,22.404,88.63,91.378,38.127,126.729,64.583,115.141,115.778,122.709,122.907,117.15,54.987,107.5,89.579,155.302,136.255,109.15,13.686,47.825,120.841,130.626,61.458,9.87,101.304,100.627,15.395,57.779,72.749,37.372,81.657,27.75,105.523,102.106,43.945,56.807,35.417,107.14, 
Fraccionamiento Puerta del Sol,113.313,101.123,80.336,65.682,82.405,86.115,14.224,29.252,122.178,117.664,0,11.292,79.277,105.988,16.204,85.443,122.925,45.196,66.152,32.371,31.758,86.093,82.791,132.014,108.514,112.573,57.901,70.435,120.322,116.303,138.089,21.538,78.185,21.001,4.879,138.244,119.627,20.494,19.358,101.794,21.314,99.455,26.607,57.936,107.211,82.381,95.374,119.576,31.183,113.475,26.034,95.529,6.212,6.448,14.598,102.325,9.278,114.735,59.739,41.818,47.191,35.559,110.457,137.239,99.384,13.767,22.515,76.977,112.396,23.347,19.545,117.921,81.632,50.955,131.674,107.701,153.656,84.941,107.425,91.546,66.652,120.164,11.257, 
Campestre Tarmbaro,115.052,102.862,77.532,62.878,84.144,87.854,5.028,30.019,123.917,119.403,11.292,0,82.67,109.381,19.597,88.836,118.972,48.589,69.545,23.073,27.804,89.486,86.184,135.407,111.907,115.966,61.294,73.828,123.715,119.696,141.482,10.544,74.232,24.394,10.238,141.637,115.674,16.541,22.751,97.841,24.707,102.848,30,61.329,110.604,85.774,98.767,115.623,34.576,116.868,16.736,91.576,11.571,11.807,10.644,105.718,6.262,118.128,63.132,45.211,43.238,22.412,113.85,140.632,102.777,2.481,11.521,80.37,115.789,26.74,22.938,121.314,85.025,54.348,135.067,111.094,157.049,88.334,103.472,94.939,70.045,123.557,14.65, 
Jarcuaro,87.635,56.367,66.823,77.466,7.225,15.244,86.102,68.815,49.412,44.898,79.277,82.67,0,49.364,77.611,28.099,92.8,34.789,21.999,94.459,101.262,39.312,36.01,141.168,35.425,39.483,29.646,26.91,63.698,50.506,147.243,91.042,52.871,65.889,75.201,75.358,89.502,89.998,74.736,57.925,71.465,42.831,58.785,35.28,34.121,33.882,22.285,89.451,52.771,56.851,88.122,65.404,76.534,77.171,84.102,89.727,78.543,58.111,68.893,50.972,116.695,97.648,80.237,74.353,28.515,82.234,92.019,32.824,39.307,62.697,62.02,44.832,37.479,37.048,75.05,63.548,56.875,72.343,102.927,44.766,17.037,63.54,68.533, 
Ziracuaretiro,102.155,77.584,108.179,118.822,52.712,33.7,112.813,95.526,45.683,49.697,105.988,109.381,49.364,0,103.968,33.087,128.143,61.146,42.929,120.816,127.619,74.29,96.276,167.525,56.158,55.112,58.235,55.499,19.943,15.924,173.6,117.399,104.492,92.246,101.558,37.865,124.845,116.355,101.093,93.268,97.822,9.422,85.142,52.92,54.855,79.467,43.018,124.794,79.128,13.096,114.479,100.747,102.891,103.528,110.459,110.657,104.9,14.356,95.25,77.329,143.052,124.005,100.284,36.86,23.46,108.591,118.376,53.754,60.04,89.054,88.377,66.561,48.569,65.637,31.295,72.447,53.277,93.273,154.589,80.109,45.626,19.785,94.89, 
Puerto de Buenavista (Lzaro Crdenas),111.866,99.677,66.8,74.487,80.959,84.669,23.029,26.833,120.732,116.218,16.204,19.597,77.611,103.968,0,84.99,129.227,44.743,65.699,31.279,38.06,87.554,84.252,131.561,108.061,112.12,59.362,69.982,119.869,115.85,137.636,27.84,84.487,22.462,13.86,137.791,125.929,26.796,14.679,108.096,22.775,99.002,28.068,57.483,106.758,83.842,94.921,125.878,32.644,113.022,21.658,101.831,15.193,15.83,20.9,101.872,12.078,114.282,59.286,41.365,53.493,31.183,110.004,136.786,98.931,15.769,28.817,76.524,111.943,24.808,19.092,117.468,81.179,52.416,131.221,107.248,153.203,84.488,113.727,93.007,66.199,119.711,10.804, 
Zirahun,64.239,37.432,86.914,97.557,31.447,10.749,92.268,74.981,46.812,42.298,85.443,88.836,28.099,33.087,84.99,0,104.879,40.852,22.635,100.522,107.325,51.026,74.912,120.825,32.894,36.953,36.871,34.135,47.039,45.754,126.901,97.105,83.128,71.952,81.264,64.961,101.581,96.061,80.799,70.004,77.528,26.172,64.848,32.626,31.591,58.103,19.754,101.53,58.834,40.192,94.185,77.483,82.597,83.234,90.165,76.85,84.606,41.452,74.956,57.035,122.758,103.711,66.987,63.956,23.764,88.297,98.082,19.295,36.776,68.76,68.083,42.301,15.616,44.273,58.391,39.494,54.344,59.466,115.006,56.845,24.262,46.881,74.596, 
Galeana,183.445,152.177,71.801,60.225,85.568,94.637,116.27,103.069,96.493,91.979,122.925,118.972,92.8,128.143,129.227,104.879,0,115.458,117.248,154.751,69.754,54.945,56.772,218.1,85.997,95.039,94.768,108.024,155.873,151.932,224.175,114.006,71.089,109.95,120.737,135.233,20.127,102.958,133.25,36.356,105.951,146.374,95.344,124.048,94.985,84.546,85.008,30.353,99.92,153.05,148.414,28.955,122.07,122.306,114.042,184.976,121.047,161.654,145.825,127.904,55.678,129.676,175.486,128.609,110.03,120.962,122.686,128.073,82.082,99.256,111.577,85.378,132.728,88.842,152.296,158.797,111.303,167.592,11.883,48.465,111.792,150.34,125.149, 
Huiramba,88.124,56.855,70.731,61.944,38.137,41.847,52.021,34.734,77.91,73.396,45.196,48.589,34.789,61.146,44.743,40.852,115.458,0,25.375,60.324,67.127,61.999,58.697,107.033,67.737,71.796,32.395,29.658,79.545,75.526,113.108,56.907,66.913,31.754,41.066,97.467,112.188,55.863,40.601,80.611,37.33,58.678,24.65,17.159,66.434,58.287,54.597,112.137,18.636,72.698,53.987,88.09,42.399,43.036,49.967,77.344,44.408,73.958,34.758,16.837,82.56,63.513,85.476,96.462,58.607,48.099,57.884,36.2,71.619,28.562,27.885,77.144,40.855,26.861,90.897,66.924,112.879,59.96,102.569,67.452,25.875,79.387,34.398, 
Colonia Vista Bella (Lomas del Peaje),65.49,34.221,72.52,82.901,25.347,23.63,72.977,55.69,59.693,55.179,66.152,69.545,21.999,42.929,65.699,22.635,117.248,25.375,0,82.304,89.107,64.467,61.165,129.013,45.889,49.948,23.124,20.388,57.696,53.678,135.088,78.887,69.381,53.734,63.046,75.618,114.657,77.843,62.581,83.08,59.31,36.829,46.63,10.131,44.586,60.755,32.749,114.606,40.616,50.85,75.967,90.559,64.379,65.016,71.947,67.728,66.388,52.11,56.738,38.817,104.54,85.493,58.238,74.613,36.759,70.079,79.864,10.825,49.771,50.542,49.865,55.296,15.48,30.526,69.049,41.549,91.03,50.344,119.478,69.921,5.603,57.539,56.378, 
Zurumbeneo,128.714,116.525,113.796,99.142,97.807,101.517,27.292,43.681,137.58,133.066,32.371,23.073,94.459,120.816,31.279,100.522,154.751,60.324,82.304,0,51.339,100.833,97.531,144.841,121.341,125.4,72.641,83.262,133.149,129.13,150.916,41.119,97.766,35.741,27.139,151.071,139.208,40.075,27.958,121.375,36.054,112.282,41.347,70.763,120.038,97.121,108.201,139.157,45.923,126.302,6.337,115.11,28.472,29.109,34.179,115.152,19.114,127.562,72.566,54.645,66.772,17.173,123.284,150.066,112.211,21.322,24.768,89.804,125.223,38.087,32.372,130.748,94.459,65.695,144.501,120.528,166.483,97.768,127.006,106.286,79.479,132.991,24.084, 
Copndaro de Galeana,135.518,123.328,66.657,52.003,104.61,108.32,25.102,50.485,144.383,139.869,31.758,27.804,101.262,127.619,38.06,107.325,69.754,67.127,89.107,51.339,0,87.124,83.822,154.257,130.757,134.816,80.143,92.678,142.565,138.546,160.332,22.357,62.876,43.243,29.088,160.487,104.318,11.308,41.601,86.485,43.556,121.698,48.849,80.179,129.454,98.116,117.617,104.267,53.425,135.718,58.537,80.22,30.421,30.657,22.393,124.568,29.398,136.978,81.982,64.061,29.925,39.799,132.7,159.482,121.627,29.313,32.809,99.22,114.521,45.589,41.788,117.817,103.875,73.197,153.917,129.944,151.75,107.184,59.364,98.594,88.895,142.407,33.5, 
Naranja de Tapia,129.957,98.689,28.827,39.47,32.08,40.784,92.918,65.271,42.64,38.126,86.093,89.486,39.312,74.29,87.554,51.026,54.945,61.999,64.467,100.833,87.124,0,2.617,163.945,32.456,41.499,40.613,53.869,110.706,78.48,170.02,97.971,24.439,75.578,82.34,90.066,51.7,84.699,84.572,20.123,71.579,92.219,60.972,69.893,41.444,30.391,31.467,51.649,54.958,106.239,94.675,27.602,83.673,84.31,91.031,130.821,85.096,107.499,91.67,73.749,81.053,104.201,121.331,83.442,56.489,90.2,98.948,73.918,28.542,64.884,77.206,31.838,78.573,34.687,107.129,104.642,66.136,113.437,65.125,6.964,57.637,105.173,74.49, 
Tirndaro,126.655,95.387,25.525,36.168,28.778,43.338,89.616,61.969,45.194,40.68,82.791,86.184,36.01,96.276,84.252,74.912,56.772,58.697,61.165,97.531,83.822,2.617,0,161.328,34.613,43.656,37.995,51.251,110.468,80.637,167.403,95.354,21.822,72.961,79.723,91.857,53.491,82.082,81.955,21.914,68.962,89.601,58.355,67.275,43.601,27.774,33.624,53.44,52.341,103.621,92.058,29.393,81.056,81.693,88.414,128.203,82.479,104.881,89.053,71.132,78.436,101.584,118.713,85.233,58.646,87.583,96.331,71.3,30.699,62.267,74.589,33.995,75.955,32.07,108.92,102.024,67.927,110.819,66.916,8.755,55.019,106.964,71.873, 
Nocuptaro de Morelos,84.951,77.943,173.373,166.686,144.516,148.226,138.839,121.552,184.289,179.775,132.014,135.407,141.168,167.525,131.561,120.825,218.1,107.033,129.013,144.841,154.257,163.945,161.328,0,176.158,180.217,140.816,138.079,187.966,183.947,6.507,149.225,175.29,124.071,133.384,205.888,220.565,148.181,132.918,188.988,129.647,167.099,133.027,125.579,174.855,166.664,163.018,220.514,127.013,181.119,146.304,196.467,134.717,135.354,142.285,73.597,136.725,182.379,78.274,96.688,174.878,155.83,81.729,204.883,167.028,140.416,150.202,107.185,180.04,131.679,120.202,185.565,112.817,135.238,199.318,98.219,221.3,64.232,235.112,175.829,134.296,187.808,126.716, 
Sevina,96.999,70.192,60.138,70.781,30.836,22.653,115.339,98.052,16.396,11.882,108.514,111.907,35.425,56.158,108.061,32.894,85.997,67.737,45.889,121.341,130.757,32.456,34.613,176.158,0,15.407,59.563,56.827,52.832,59.963,175.997,119.796,55.39,94.643,103.955,32.191,81.569,118.752,103.49,49.992,100.219,48.863,87.539,55.317,9.525,61.342,12.95,81.518,81.525,50.009,116.876,57.471,105.288,105.925,112.856,113.054,107.297,64.143,97.647,79.726,145.449,126.402,99.297,25.568,37.972,110.988,120.773,51.605,3.847,91.451,90.774,9.372,47.926,66.965,49.254,71.804,21.415,95.67,94.994,36.833,46.954,47.299,97.287, 
Turcuaro,101.058,74.251,69.181,79.824,42.83,26.711,119.398,102.111,9.927,5.413,112.573,115.966,39.483,55.112,112.12,36.953,95.039,71.796,49.948,125.4,134.816,41.499,43.656,180.217,15.407,0,64.003,61.267,46.363,42.422,180.437,124.236,66.028,99.083,108.395,25.722,92.207,123.192,107.93,60.63,104.659,53.303,91.979,59.757,5.362,71.98,16.991,92.156,85.965,43.54,121.316,68.109,109.728,110.365,117.296,117.494,111.737,60.4,102.087,84.166,149.889,130.842,103.737,19.099,42.412,115.428,125.213,56.045,13.396,95.891,95.214,18.921,52.366,71.405,42.785,76.244,33.163,100.11,105.632,47.471,51.394,40.83,101.727, 
