LOCALIDADES,Santa Elena Paliseca,El Huixm,San Bartolo Tutotepec,Santiago Tepeyahualco,San Juan Tilcuautla,Almoloya,Rinconada de los ngeles,Manuel vila Camacho,El Pedregal de San Jos,Xolotla,Huehuetla,Ixtlahuaca Barrio,Santa Mara Nativitas,El Saucillo,Rincones de la Hacienda,La Colonia,Santa Mara Asuncin,Cuacuila,Metztitln,Epazoyucan,San Pablito,Jagey de Tllez (Estacin Tllez),Unidades Habitacionales,Santiago Tlapacoya,PRI Chacn,Ciudad de Pahuatln de Valle,Santa Mara Aticpac,Forjadores de Pachuca,El Saucillo (Fraccionamiento),Los Reyes,San Felipe Teotitln,Acaxochitln,Singuilucan,Santa Ana Tzacuala,Almoloya,Tepepa (Santiago Tepepa),Colinas de Plata,Jaltepec,Los Tuzos,Privadas Santa Matilde,Huayacocotla,Unidad Minera 11 de Julio,Santa Ana Hueytlalpan,Pachuquilla,Parque Urbano Napateco,Javier Rojo Gmez,Campestre Villas del lamo,Jaltepec,Zempoala,Atotonilco el Grande,Tlanalapa,Acayuca,Emiliano Zapata,San Agustn Tlaxiaca,Mineral del Monte,Tepeapulco,Santiago Tulantepec,La Providencia Siglo XXI,Cuautepec de Hinojosa,Ciudad de Chignahuapan,Zacualtipn,Apan,Fray Bernardino de Sahagn (Ciudad Sahagn),Huauchinango,Tulancingo,Pachuca de Soto, 
Acaxochitln,25.783,81.598,65.639,68.749,81.059,24.941,67.635,70.592,27.906,20.816,113.604,52.006,21.058,69.25,28.368,74.51,8.647,36.975,126.115,57.497,34.533,87.748,28.73,80.237,67.089,24.258,81.326,74.642,65.69,5.407,76.428,0,45.055,5.291,92.059,8.209,67.789,87.888,86.901,90.321,74.735,66.593,13.925,62.308,19.097,28.574,66.196,26.56,67.022,64.278,74.039,108.659,105.256,88.403,74.166,70.802,28.533,65.176,32.912,49.327,103.99,85.461,82.69,25.711,21.442,70.055, 
Singuilucan,39.997,55.007,91.451,24.145,58.283,31.668,38.561,34.49,19.153,63.636,153.465,93.873,32.324,47.525,22.952,45.285,37.681,76.836,117.247,15.487,74.41,43.144,19.976,57.461,30.986,67.078,36.722,44.716,29.588,50.663,31.824,45.055,0,49.02,48.24,52.92,46.772,44.069,43.082,46.502,101.595,49.976,40.784,27.648,30.255,20.009,31.536,24.213,23.203,80.99,30.22,64.841,61.437,65.61,57.563,26.983,25.016,43.929,29.395,91.301,144.547,41.642,38.871,67.686,23.502,47.263, 
Santa Ana Tzacuala,31.275,84.654,68.695,71.805,84.115,35.633,70.691,73.648,30.962,15.919,71.608,56.467,26.55,72.306,31.424,77.566,11.703,41.436,129.171,60.553,29.636,90.804,31.786,83.293,70.145,19.361,84.382,77.698,68.746,10.278,79.484,5.291,49.02,0,95.115,13.53,70.845,90.944,89.957,93.377,77.791,69.649,16.981,65.364,22.153,31.63,69.252,29.616,70.078,67.334,77.095,111.715,108.312,91.459,77.222,73.858,31.589,68.232,35.968,54.648,107.046,88.517,85.746,31.032,24.497,73.111, 
Almoloya,54.902,73.73,138.455,37.874,77.005,53.173,57.284,73.197,66.157,110.64,199.762,75.278,56.263,66.248,69.956,64.008,84.685,113.632,155.954,52.795,121.414,61.866,66.98,76.183,65.891,114.082,61.39,63.439,62.98,97.667,43.285,92.059,48.24,95.115,0,103.146,66.297,42.842,62.607,89.766,147.595,69.501,86.784,64.879,76.255,66.009,70.608,70.213,42.728,100.515,28.508,88.523,19.999,85.135,77.088,21.402,57.858,63.453,55.878,68.308,164.072,7.384,25.405,109.37,69.502,66.788, 
Tepepa (Santiago Tepepa),23.298,88.554,72.595,75.705,88.015,24.844,74.591,77.548,34.862,29.056,108.826,47.228,21.048,76.206,35.324,81.466,15.603,32.197,133.071,64.453,42.773,94.704,35.686,87.193,74.045,32.498,88.282,81.598,72.646,9.014,83.384,8.209,52.92,13.53,103.146,0,82.268,102.367,101.38,104.8,83.103,81.072,22.293,76.787,27.466,36.942,80.675,41.039,81.501,78.757,88.518,123.138,119.735,102.882,88.645,85.281,36.902,79.655,24.385,43.845,112.358,99.94,97.169,20.229,29.81,84.534, 
Colinas de Plata,62.732,16.229,102.01,33.794,15.691,54.403,11.453,9.055,41.888,86.37,176.199,116.607,55.059,2.219,45.686,9.141,60.415,99.57,91.812,22.78,97.144,19.997,42.711,14.869,1.708,89.812,35.065,9.274,6.327,73.397,39.205,67.789,46.772,70.845,66.297,82.268,0,53.29,9.597,17.526,112.315,4.158,61.142,4.449,50.605,40.359,5.265,44.571,27.363,35.171,38.782,20.955,70.658,23.977,11.744,46.248,45.365,4.877,49.744,111.659,98.728,60.907,47.433,88.044,43.851,5.63, 
Jaltepec,58.778,68.013,134.284,24.65,62.79,74.501,43.069,58.982,61.986,106.469,196.298,114.299,75.157,52.033,65.785,49.792,80.514,119.669,141.739,49.282,117.243,47.651,62.809,70.637,51.676,109.911,29.118,49.223,48.764,93.496,30.278,87.888,44.069,90.944,42.842,102.367,53.29,0,47.307,57.269,142.3,54.201,81.489,49.579,70.96,60.714,55.308,64.918,27.427,85.215,13.73,56.026,18.757,68.889,61.788,12.903,65.721,48.153,70.1,96.202,148.772,27.561,9.164,108.391,64.207,51.487, 
Los Tuzos,81.843,10.948,133.297,30.104,19.168,73.514,7.763,15.289,60.999,105.482,195.311,135.719,74.17,8.34,64.798,2.569,79.527,118.682,98.046,19.09,116.256,11.512,61.822,13.572,7.983,108.924,31.374,2,5.072,92.509,35.515,86.901,43.082,89.957,62.607,101.38,9.597,47.307,0,7.483,119.594,11.436,68.42,11.727,57.883,47.637,12.543,51.849,22.254,42.45,33.674,14.365,65.549,22.829,19.023,41.14,52.643,7.056,57.022,118.937,106.007,55.799,42.324,95.322,51.129,5.722, 
Privadas Santa Matilde,85.263,13.157,136.717,33.524,21.377,76.934,11.183,23.218,64.419,108.902,198.731,139.139,77.59,16.269,68.218,5.867,82.947,122.102,105.975,22.511,119.676,5.898,65.242,15.781,15.912,112.344,32.816,7.649,13.001,95.929,38.935,90.321,46.502,93.377,89.766,104.8,17.526,57.269,7.483,0,127.18,19.023,86.78,15.051,76.251,66.005,20.13,70.209,25.937,50.036,37.356,9.178,77.754,25.676,26.609,44.822,71.012,13.625,75.391,137.297,113.593,59.481,46.007,113.682,69.498,11.191, 
Huayacocotla,96.538,127.591,71.028,124.38,127.053,88.209,122.815,107.254,83.538,82.911,104.251,124.961,88.865,115.244,70.361,120.503,67.361,107.924,55.283,128.47,91.101,131.359,84.362,126.231,113.082,81.7,146.427,120.636,117.689,80.343,150.567,74.735,101.595,77.791,147.595,83.103,112.315,142.3,119.594,127.18,0,110.406,61.52,114.431,66.74,84.119,111.867,82.105,138.767,77.078,150.186,132.359,160.801,135.381,103.99,126.347,84.078,114.86,88.457,122.578,30.847,141.006,158.837,98.963,76.986,117.034, 
Unidad Minera 11 de Julio,61.536,19.434,97.649,36.998,18.895,53.207,14.657,4.694,40.692,85.174,175.003,115.411,53.863,7.086,44.49,12.346,59.219,98.374,87.451,20.326,95.948,23.202,41.515,18.073,4.925,88.616,38.269,12.478,9.531,72.201,42.409,66.593,49.976,69.649,69.501,81.072,4.158,54.201,11.436,19.023,110.406,0,62.841,6.148,52.304,42.058,3.239,46.27,29.72,33.24,41.139,23.313,73.015,26.335,9.813,48.605,47.064,6.576,51.443,113.358,96.797,63.264,49.79,89.743,45.55,7.987, 
Santa Ana Hueytlalpan,35.727,76.418,52.372,63.569,75.879,27.398,62.455,65.412,22.727,32.506,82.683,64.15,28.054,64.07,23.188,69.33,6.551,47.113,108.215,52.317,41.714,82.568,23.551,75.057,61.909,35.948,76.146,69.462,60.51,19.533,71.248,13.925,40.784,16.981,86.784,22.293,61.142,81.489,68.42,86.78,61.52,62.841,0,57.043,5.93,23.309,60.931,21.295,61.757,59.013,68.774,103.394,99.991,83.138,68.901,65.537,23.268,59.911,27.647,61.768,90.775,80.196,77.425,38.153,16.176,64.79, 
Pachuquilla,57.251,19.725,108.704,32.376,19.186,48.922,8.062,8.719,36.407,80.889,170.718,111.126,49.578,7.377,40.205,12.637,54.934,94.089,91.476,10.339,91.663,23.493,37.23,18.364,5.216,84.331,33.647,12.769,3.795,67.916,37.787,62.308,27.648,65.364,64.879,76.787,4.449,49.579,11.727,15.051,114.431,6.148,57.043,0,46.316,36.07,5.664,40.282,26.524,37.061,37.944,24.849,69.819,27.871,13.634,45.41,41.076,2.844,45.455,107.37,100.618,60.069,46.594,83.755,39.562,9.523, 
Parque Urbano Napateco,27.764,65.881,57.592,53.04,65.342,19.435,51.918,54.875,13.486,37.678,87.903,68.353,20.091,53.533,13.212,58.793,11.723,51.316,105.676,41.78,48.452,72.039,14.31,64.52,51.372,41.12,65.617,58.925,49.973,24.705,60.719,19.097,30.255,22.153,76.255,27.466,50.605,70.96,57.883,76.251,66.74,52.304,5.93,46.316,0,13.759,50.812,12.48,51.638,45.415,58.655,93.275,89.872,73.019,58.782,55.418,12.816,49.792,17.195,65.698,108.972,70.077,67.306,42.083,7.264,54.671, 
Javier Rojo Gmez,24.085,55.635,74.97,42.794,55.096,15.756,41.672,44.629,3.241,47.155,137.422,77.83,16.412,43.287,8.064,48.547,21.199,60.793,104.352,31.534,57.929,61.793,4.064,54.274,41.126,50.597,55.371,48.679,39.727,34.182,50.473,28.574,20.009,31.63,66.009,36.942,40.359,60.714,47.637,66.005,84.119,42.058,23.309,36.07,13.759,0,38.338,6.308,39.163,44.064,46.18,80.8,77.397,60.545,46.308,42.943,11.627,37.318,16.006,82.118,107.621,57.602,54.831,58.503,10.113,42.197, 
Campestre Villas del lamo,61.139,20.541,99.11,38.105,20.002,52.81,15.764,3.658,40.295,84.777,174.606,115.014,53.466,8.193,44.093,13.453,58.822,97.977,88.912,19.93,95.551,24.309,41.118,19.18,6.032,88.219,39.376,13.585,6.365,71.804,43.516,66.196,31.536,69.252,70.608,80.675,5.265,55.308,12.543,20.13,111.867,3.239,60.931,5.664,50.812,38.338,0,46.844,31.058,33.592,42.477,24.65,74.353,27.672,10.165,49.943,47.638,7.151,52.017,113.932,97.149,64.602,51.128,90.317,46.124,9.325, 
Jaltepec,25.759,59.847,72.956,46.998,59.308,17.43,45.884,48.841,10.495,45.141,134.97,75.378,18.086,47.499,3.092,52.759,19.186,58.341,98.552,35.746,55.915,65.997,11.319,58.486,45.338,48.583,59.575,52.891,43.939,32.168,54.677,26.56,24.213,29.616,70.213,41.039,44.571,64.918,51.849,70.209,82.105,46.27,21.295,40.282,12.48,6.308,46.844,0,44.925,38.204,51.942,86.562,83.159,66.306,44.569,48.705,11.672,43.079,16.051,73.445,101.761,63.364,60.593,49.83,7.376,47.958, 
Zempoala,61.964,33.588,113.418,10.225,36.863,53.635,17.142,33.055,41.12,85.603,175.432,115.84,54.291,26.106,44.919,23.865,59.648,98.803,115.812,19.577,96.377,21.724,41.943,36.041,25.749,89.045,11.676,23.296,22.837,72.63,15.636,67.022,23.203,70.078,42.728,81.501,27.363,27.427,22.254,25.937,138.767,29.72,61.757,26.524,51.638,39.163,31.058,44.925,0,59.718,15.299,32.112,47.175,44.337,36.291,22.765,43.787,22.656,48.166,110.072,123.275,37.424,23.949,86.457,42.273,25.99, 
Atotonilco el Grande,63.477,50.447,81.983,68.012,49.909,55.148,45.671,30.11,48.213,82.859,115.206,113.096,55.804,38.1,40.81,43.359,56.904,96.059,54.123,51.326,93.633,54.215,49.037,49.087,35.938,86.301,69.283,43.492,40.545,69.886,73.423,64.278,80.99,67.334,100.515,78.757,35.171,85.215,42.45,50.036,77.078,33.24,59.013,37.061,45.415,44.064,33.592,38.204,59.718,0,72.342,54.515,104.218,57.537,26.146,79.808,54.791,37.016,59.17,116.563,64.508,94.467,80.993,92.948,50.495,39.19, 
Tlanalapa,52.846,45.007,120.435,9.151,48.282,51.118,28.561,44.474,48.137,92.62,182.449,122.857,61.308,37.525,51.936,35.285,66.665,105.82,127.231,28.796,103.394,33.144,48.96,47.46,37.168,96.062,19.423,34.716,34.257,79.647,14.562,74.039,30.22,77.095,28.508,88.518,38.782,13.73,33.674,37.356,150.186,41.139,68.774,37.944,58.655,46.18,42.477,51.942,15.299,72.342,0,44.264,21.484,56.489,48.442,7.258,53.027,34.808,57.406,94.025,135.426,21.917,8.447,95.697,51.513,38.142, 
Acayuca,103.601,6.98,155.055,40.406,25.025,95.272,18.065,26.647,82.757,127.24,217.069,157.477,95.928,19.698,86.556,13.349,101.285,140.44,109.404,29.393,138.014,12.595,83.58,10.434,19.341,130.682,31.572,14.162,19.883,114.267,52.021,108.659,64.841,111.715,88.523,123.138,20.955,56.026,14.365,9.178,132.359,23.313,103.394,24.849,93.275,80.8,24.65,86.562,32.112,54.515,44.264,0,74.96,12.863,30.961,63.516,89.056,20.776,93.435,155.341,117.945,85.339,59.426,131.726,87.542,15.543, 
Emiliano Zapata,64.967,85.381,151.652,30.839,80.158,63.239,60.437,76.35,79.354,123.837,213.666,91.456,92.525,69.401,83.153,67.16,97.882,137.037,159.107,66.65,134.611,65.019,80.177,88.005,69.044,127.279,46.485,66.591,66.132,110.864,47.645,105.256,61.437,108.312,19.999,119.735,70.658,18.757,65.549,77.754,160.801,73.015,99.991,69.819,89.872,77.397,74.353,83.159,47.175,104.218,21.484,74.96,0,86.2,79.098,19.305,83.031,65.463,87.41,85.682,166.082,15.646,15.567,125.701,81.517,68.797, 
San Agustn Tlaxiaca,83.346,13.009,122.624,52.631,16.582,75.017,30.291,29.669,62.502,106.984,196.813,137.221,75.673,22.72,66.3,21.502,81.029,120.184,112.426,41.618,117.758,29.855,63.325,10.472,22.363,110.426,53.902,22.315,25.165,94.011,58.042,88.403,65.61,91.459,85.135,102.882,23.977,68.889,22.829,25.676,135.381,26.335,83.138,27.871,73.019,60.545,27.672,66.306,44.337,57.537,56.489,12.863,86.2,0,34.045,63.311,67.665,27.177,72.044,133.959,121.029,77.97,64.496,110.344,66.151,20.69, 
Mineral del Monte,69.109,27.02,88.349,44.585,26.482,60.78,22.244,6.683,48.265,92.747,121.572,122.984,61.436,14.673,47.175,19.932,66.792,105.947,81.035,27.899,103.521,30.788,49.088,25.66,12.511,96.189,45.856,20.065,17.118,79.774,49.996,74.166,57.563,77.222,77.088,88.645,11.744,61.788,19.023,26.609,103.99,9.813,68.901,13.634,58.782,46.308,10.165,44.569,36.291,26.146,48.442,30.961,79.098,34.045,0,57.083,54.778,14.291,59.157,121.072,86.788,71.742,58.268,97.457,53.264,16.465, 
Tepeapulco,45.357,52.473,117.198,16.617,55.748,43.629,36.027,51.94,44.9,89.383,179.212,92.859,46.719,44.991,48.699,42.751,63.428,102.583,134.697,31.538,100.157,40.609,45.723,54.926,44.634,92.825,26.889,42.182,41.723,76.41,22.028,70.802,26.983,73.858,21.402,85.281,46.248,12.903,41.14,44.822,126.347,48.605,65.537,45.41,55.418,42.943,49.943,48.705,22.765,79.808,7.258,63.516,19.305,63.311,57.083,0,49.767,42.203,46.332,86.919,142.822,14.811,4.359,92.437,48.253,45.538, 
Santiago Tulantepec,16.198,60.641,74.929,47.801,60.102,7.414,46.678,49.635,8.247,47.114,137.381,77.789,9.372,48.293,11.666,53.553,21.159,60.752,109.68,36.54,57.888,66.8,9.071,59.28,46.132,50.556,60.378,53.685,44.733,34.141,55.48,28.533,25.016,31.589,57.858,36.902,45.365,65.721,52.643,71.012,84.078,47.064,23.268,41.076,12.816,11.627,47.638,11.672,43.787,54.791,53.027,89.056,83.031,67.665,54.778,49.767,0,45.397,6.06,49.812,112.941,65.681,62.91,50.651,7.32,50.276, 
La Providencia Siglo XXI,60.119,20.153,111.572,30.95,19.614,51.79,4.49,9.148,39.275,83.757,173.586,113.994,52.446,4.161,43.073,8.667,57.802,96.957,91.905,12.459,94.531,17.967,40.098,18.792,5.644,87.199,32.221,8.098,2.369,70.784,36.361,65.176,43.929,68.232,63.453,79.655,4.877,48.153,7.056,13.625,114.86,6.576,59.911,2.844,49.792,37.318,7.151,43.079,22.656,37.016,34.808,20.776,65.463,27.177,14.291,42.203,45.397,0,48.16,110.075,100.423,53.925,40.45,86.46,42.267,9.163, 
Cuautepec de Hinojosa,11.074,65.02,79.308,52.18,64.481,2.269,51.057,54.014,12.626,51.493,141.76,53.118,3.812,52.672,16.045,57.932,25.538,65.131,114.059,40.919,62.267,71.179,13.45,63.659,50.511,54.935,64.757,58.064,49.112,28.233,59.859,32.912,29.395,35.968,55.878,24.385,49.744,70.1,57.022,75.391,88.457,51.443,27.647,45.455,17.195,16.006,52.017,16.051,48.166,59.17,57.406,93.435,87.41,72.044,59.157,46.332,6.06,48.16,0,43.986,116.436,56.201,67.034,42.232,9.101,54.4, 
Ciudad de Chignahuapan,33.571,126.935,113.429,114.086,126.396,42.83,112.972,115.929,73.679,70.174,139.974,3.706,43.55,114.587,73.705,119.847,59.659,53.844,171.452,102.834,83.891,133.085,74.502,125.574,112.426,73.616,126.663,119.979,111.027,50.876,121.765,49.327,91.301,54.648,68.308,43.845,111.659,96.202,118.937,137.297,122.578,113.358,61.768,107.37,65.698,82.118,113.932,73.445,110.072,116.563,94.025,155.341,85.682,133.959,121.072,86.919,49.812,110.075,43.986,0,172.812,73.249,91.27,49.611,66.856,115.032, 
Zacualtipn,127.034,114.004,100.283,131.569,113.466,118.705,109.228,93.667,111.77,112.165,133.506,176.653,119.361,101.657,104.367,106.916,96.616,159.616,24.436,114.883,120.355,117.772,112.594,112.644,99.495,110.954,132.84,107.049,104.102,109.598,136.98,103.99,144.547,107.046,164.072,112.358,98.728,148.772,106.007,113.593,30.847,96.797,90.775,100.618,108.972,107.621,97.149,101.761,123.275,64.508,135.426,117.945,166.082,121.029,86.788,142.822,112.941,100.423,116.436,172.812,0,158.724,145.25,128.218,114.752,103.447, 
Apan,56.064,67.132,131.857,31.276,70.407,54.336,50.686,66.599,59.559,104.042,193.871,78.841,57.426,59.65,63.358,57.41,78.087,117.242,149.356,46.196,114.816,55.268,60.382,69.585,59.293,107.484,41.548,56.841,56.382,91.069,36.687,85.461,41.642,88.517,7.384,99.94,60.907,27.561,55.799,59.481,141.006,63.264,80.196,60.069,70.077,57.602,64.602,63.364,37.424,94.467,21.917,85.339,15.646,77.97,71.742,14.811,65.681,53.925,56.201,73.249,158.724,0,19.319,112.982,63.426,60.711, 
Fray Bernardino de Sahagn (Ciudad Sahagn),50.638,53.658,129.086,17.802,56.933,48.91,37.211,53.125,56.788,101.271,191.1,96.862,69.959,46.176,60.587,43.935,75.316,114.471,135.882,36.065,112.045,41.794,57.611,56.111,45.819,104.713,28.074,43.366,42.907,88.298,23.213,82.69,38.871,85.746,25.405,97.169,47.433,9.164,42.324,46.007,158.837,49.79,77.425,46.594,67.306,54.831,51.128,60.593,23.949,80.993,8.447,59.426,15.567,64.496,58.268,4.359,62.91,40.45,67.034,91.27,145.25,19.319,0,103.314,59.13,45.759, 
Huauchinango,36.055,103.32,89.814,90.471,102.781,44.577,89.357,92.314,50.064,37.412,90.345,53.452,38.945,90.972,50.09,96.232,36.044,4.588,147.837,79.219,52.065,109.47,50.887,101.959,88.811,41.79,103.048,96.364,87.412,27.26,98.15,25.711,67.686,31.032,109.37,20.229,88.044,108.391,95.322,113.682,98.963,89.743,38.153,83.755,42.083,58.503,90.317,49.83,86.457,92.948,95.697,131.726,125.701,110.344,97.457,92.437,50.651,86.46,42.232,49.611,128.218,112.982,103.314,0,42.886,91.062, 
Tulancingo,19.699,59.127,67.837,46.287,58.588,11.37,45.164,48.121,6.733,40.022,130.289,70.697,12.026,46.779,7.37,52.039,14.067,53.66,105.384,35.026,50.796,65.286,7.557,57.766,44.618,43.464,58.864,52.171,43.219,27.049,53.966,21.442,23.502,24.497,69.502,29.81,43.851,64.207,51.129,69.498,76.986,45.55,16.176,39.562,7.264,10.113,46.124,7.376,42.273,50.495,51.513,87.542,81.517,66.151,53.264,48.253,7.32,42.267,9.101,66.856,114.752,63.426,59.13,42.886,0,48.709, 
Pachuca de Soto,64.998,11.602,104.277,34.284,13.127,56.669,11.944,11.322,44.154,88.636,178.465,118.873,57.325,4.373,47.952,4.514,62.681,101.836,94.079,23.271,99.41,15.37,44.977,12.305,4.016,92.078,35.555,5.207,6.818,75.663,39.695,70.055,47.263,73.111,66.788,84.534,5.63,51.487,5.722,11.191,117.034,7.987,64.79,9.523,54.671,42.197,9.325,47.958,25.99,39.19,38.142,15.543,68.797,20.69,16.465,45.538,50.276,9.163,54.4,115.032,103.447,60.711,45.759,91.062,48.709,0, 
