LOCALIDADES,Telpatln,Joachn,Capoluca,San Mateo Yoloxochitln,Zapotitln Salinas,Zapoapan,Tlamatoca Potrerillo,Atoyac,Tetla,Colorines,San Bartolom Ayautla,Campo Grande,Zoquitln,Necoxtla,Santa Mara del Monte,San Marcial,Acatepec (San Antonio),San Isidro Vista Hermosa,Cuichapa,Mariano Escobedo,Xitlama,Tetela,Fraccionamiento Valle Dorado,Agrcola Lzaro Crdenas,La Luz y Trinidad Palotal,Providencia,Tlilapan,San Pedro Ixcatln,Tepetzitzintla,Guadalupe (La Patrona),Los Naranjos,Tuxpanguillo,Omealca,Tequila,Motzorongo,La Perla,Sumidero,Atzompa,Calipan,Huiloapan de Cuauhtmoc,Tomatln,Paraje Nuevo,Tetelzingo,Dos Ros (Tocuila),Ixhuatlancillo,Tezonapa,Peuela,Yanga,Acatln de Prez Figueroa,San Felipe Jalapa de Daz,San Lucas Ojitln,Coxcatln,Temascal,Ixhuatln del Caf,Zongolica,Monte Blanco,Acultzingo,Vicente Camalote,Xocotla,Cuautlapan,Teotitln de Flores Magn,San Jos Miahuatln,El Pueblito (Crucero Nacional),Unin y Progreso,Jalapilla,Cosolapa,Atzacan,Amatln de los Reyes,Rafael Delgado,Huautla de Jimnez,Chocamn,La Luz Francisco I. Madero (San Romn),Crdoba (Santa Leticia),Maltrata,San Gabriel Chilac,Paso del Macho,Cuitlhuac,Palmira,General Miguel Alemn (Potrero Nuevo),Coscomatepec de Bravo,San Sebastin Zinacatepec,Tres Valles,Altepexi,Fortn de las Flores,Nogales,Ixtaczoquitln,Ciudad de Ajalpan,Ciudad Mendoza,Ro Blanco,Tierra Blanca,Orizaba,Crdoba,Tehuacn, 
Telpatln,0,159.901,73.971,139.33,80.176,72.941,106.03,101.824,88.355,75.927,226.706,71.43,37.095,53.105,12.936,77.892,26.324,61.147,94.76,66.885,36.914,136.112,62.238,81.799,81.111,103.688,52.735,217.619,6.081,86.339,196.965,75.406,105.792,40.361,106.059,68.586,67.489,48.657,48.854,83.188,91.642,88.268,107.353,72.902,66.852,101.992,87.252,93.927,117.035,203.06,222.569,53.513,170.668,90.997,49.926,77.67,62.887,126.131,96.933,66.457,76.725,65.92,74.364,62.141,55.409,100.947,71.811,82.006,56.519,142.858,83.409,75.018,73.967,79.116,58.989,112.322,102.194,64.792,98.787,93.617,59.321,203.819,56.781,70.592,82.959,62.363,60.865,79.817,86.32,170.773,59.847,77.894,66.842, 
Joachn,159.901,0,114.472,213.721,198.802,99.254,125.607,71.761,107.932,91.009,165.808,111.931,203.279,123.973,153.437,87.684,192.508,169.345,93.122,111.414,203.098,41.572,107.243,117.301,85.966,73.857,107.636,142.983,172.265,84.701,43.026,108.303,66.632,120.17,94.022,113.115,93.072,135.195,208.526,113.547,111.22,78.507,126.93,98.361,111.739,74.164,77.491,70.827,61.928,143.604,126.364,212.852,62.836,110.574,140.334,97.248,133.271,52.255,116.51,97.043,236.064,202.469,89.446,107.062,105.443,74.207,103.961,80.368,107.58,203.902,102.986,85.77,89.918,140.534,236.623,82.259,64.389,107.142,69.781,113.194,196.45,60.673,189.537,90.169,113.097,102.863,193.621,116.391,107.906,30.873,104.088,86.832,175.04, 
Capoluca,73.971,114.472,0,212.931,113.065,9.453,60.182,47.713,42.507,26.028,263.107,3.131,117.542,38.236,67.7,27.179,106.771,83.608,48.913,25.66,117.361,123.725,21.489,31.565,29.274,57.841,21.899,240.282,86.528,40.492,151.118,5.014,59.945,34.433,78.006,27.361,21.642,49.458,122.789,27.81,45.794,37.394,61.505,27.055,25.985,83.716,33.353,48.08,97.325,240.903,223.663,127.115,160.135,45.149,54.597,31.822,47.534,107.754,51.085,14.466,150.327,116.732,24.465,21.308,19.706,85.727,20.53,36.159,21.843,216.459,37.561,25.119,23.254,54.797,150.886,58.211,56.347,21.388,44.676,47.769,110.713,157.972,103.8,24.744,27.36,13.685,107.884,30.654,22.152,124.926,18.335,27.007,89.303, 
San Mateo Yoloxochitln,139.33,213.721,212.931,0,143.67,209.057,242.146,237.941,224.471,212.043,95.193,207.546,112.039,186.513,150.065,214.008,112.856,129.131,230.877,198.035,107.781,207.409,193.153,182.077,217.227,239.805,195.279,86.105,136.878,222.456,176.384,211.522,241.909,207.813,89.395,199.736,203.606,185.265,87.103,183.466,227.758,224.385,243.469,209.019,197.715,85.328,223.369,230.044,227.765,71.546,91.055,82.676,193.402,227.113,180.723,213.786,163.165,218.092,233.049,202.573,60.562,104.31,210.48,193.483,193.086,84.283,199.604,218.123,195.222,11.344,219.525,211.134,210.083,213.113,116.009,248.439,257.617,194.589,234.904,229.733,97.711,155.113,107.272,206.708,183.237,198.479,102.629,180.095,186.598,187.611,192.843,214.01,125.573, 
Zapotitln Salinas,80.176,198.802,113.065,143.67,0,142.988,176.077,171.872,158.402,145.974,234.084,141.477,82.034,89.217,67.366,147.939,81.872,31.835,164.808,133.07,79.741,239.62,128.188,115.017,151.158,173.736,129.21,224.997,86.134,156.387,267.013,145.453,175.84,141.744,193.901,134.771,137.537,87.969,56.565,118.262,161.689,158.316,177.4,142.95,132.75,199.611,157.3,163.975,213.22,210.438,229.947,60.891,276.03,161.044,161.908,147.717,65.869,223.649,166.98,136.504,84.103,47.92,144.411,128.518,127.017,201.622,141.858,152.054,129.153,150.236,153.456,145.065,144.014,110.358,36.668,182.37,172.242,129.624,168.835,163.664,44.489,273.867,37.577,140.639,118.034,132.41,41.66,115.381,121.395,240.821,127.877,147.941,24.748, 
Zapoapan,72.941,99.254,9.453,209.057,142.988,0,46.538,36.994,28.863,15.308,248.338,6.942,116.543,37.237,66.701,16.46,105.772,82.609,34.144,24.661,116.362,108.956,20.49,30.566,18.555,43.072,20.9,225.513,85.529,25.723,136.349,10.918,45.176,33.434,63.237,26.362,17.52,48.459,121.79,26.811,32.151,26.675,47.861,22.809,24.986,68.947,22.634,33.311,82.556,226.134,208.894,126.116,145.366,31.505,53.598,18.178,46.535,92.985,37.441,13.467,149.328,115.733,13.745,20.309,18.707,70.958,19.531,21.39,20.844,215.46,23.917,14.399,12.535,53.798,149.887,47.492,41.578,20.389,33.957,34.125,109.714,143.203,102.801,11.1,26.361,12.686,106.885,29.655,21.153,110.157,17.336,16.288,88.304, 
Tlamatoca Potrerillo,106.03,125.607,60.182,242.146,176.077,46.538,0,51.767,32.563,46.458,279.486,61.999,153.347,74.041,103.505,34.451,142.576,119.413,65.292,61.482,153.166,140.104,57.311,67.37,29.928,60.181,57.704,256.661,122.333,56.871,167.497,59.849,62.285,70.238,80.346,63.183,43.14,85.263,158.594,63.615,20.972,44.066,44.893,48.429,61.807,86.056,40.025,50.42,99.665,257.282,240.042,162.92,176.514,13.934,90.402,32.6,83.339,110.094,41.141,48.124,186.132,152.537,44.895,57.13,55.511,88.067,54.029,52.538,57.648,252.264,25.694,45.549,36.114,90.602,186.691,46.404,58.686,57.21,51.348,31.117,146.518,174.351,139.605,39.89,63.165,52.931,143.689,66.459,57.974,141.305,54.156,33.679,125.108, 
Atoyac,101.824,71.761,47.713,237.941,171.872,36.994,51.767,0,46.177,29.254,225.33,50.176,141.524,62.218,91.682,25.748,130.753,107.59,31.463,49.659,141.343,85.948,45.488,55.547,24.03,25.778,45.881,202.505,110.51,22.946,113.341,46.548,27.882,58.415,45.943,51.36,31.317,73.44,146.771,51.792,49.465,11.768,65.175,36.606,49.984,51.653,15.556,14.449,65.262,203.126,185.886,151.097,122.358,48.819,78.579,35.493,71.516,75.691,54.755,35.288,174.309,140.714,27.691,45.307,43.688,53.664,42.206,18.613,45.825,263.424,41.231,24.015,26.218,78.779,174.868,10.874,15.631,45.387,3.492,51.439,134.695,120.195,127.782,28.414,51.342,41.108,131.866,54.636,46.151,87.149,42.333,21.605,113.285, 
Tetla,88.355,107.932,42.507,224.471,158.402,28.863,32.563,46.177,0,24.616,257.644,40.157,131.505,52.199,81.663,19.216,120.734,97.571,43.45,39.64,131.324,118.262,35.469,45.528,21.059,52.377,35.862,234.819,100.491,35.029,145.655,38.007,54.481,48.396,72.542,41.341,21.298,63.421,136.752,41.773,14.009,36.957,27.052,10.638,39.965,78.252,35.941,42.616,91.861,235.44,218.2,141.078,154.672,19.949,68.56,10.758,61.497,102.29,8.75,26.282,164.29,130.695,23.053,35.288,33.669,80.263,19.647,30.696,35.806,230.422,5.775,23.707,22.049,68.76,164.849,61.011,50.883,35.368,47.476,15.983,124.676,152.509,117.763,18.048,41.323,31.089,121.847,44.617,36.132,119.463,32.314,25.815,103.266, 
Colorines,75.927,91.009,26.028,212.043,145.974,15.308,46.458,29.254,24.616,0,237.077,23.512,119.515,40.208,69.673,7.71,108.744,85.58,22.883,27.649,119.334,97.695,23.478,33.537,9.181,31.811,23.872,214.252,88.501,14.462,125.088,24.475,33.915,36.406,51.976,29.35,9.307,51.43,124.761,29.783,27.455,16.391,43.165,14.596,27.974,57.686,15.375,22.05,71.295,214.873,197.633,129.087,134.105,26.809,56.57,13.483,49.506,81.724,32.745,13.215,152.299,118.704,1.562,23.297,21.679,59.697,20.196,10.129,23.816,218.431,19.221,2.336,5.441,56.77,152.858,40.445,30.317,23.377,26.91,29.429,112.685,131.942,105.772,6.404,29.333,19.098,109.856,32.626,24.141,98.896,20.323,5.963,91.275, 
San Bartolom Ayautla,226.706,165.808,263.107,95.193,234.084,248.338,279.486,225.33,257.644,237.077,0,249.134,153.627,228.101,191.653,273.241,154.444,170.719,262.884,239.623,149.369,195.201,234.741,223.665,271.523,251.306,236.867,73.897,178.466,270.258,164.176,253.11,247.634,249.401,235.236,241.324,245.194,226.853,128.691,225.054,296.777,264.064,312.487,250.607,239.303,229.421,263.048,254.167,215.557,59.338,78.847,124.264,181.194,296.131,222.311,282.805,204.753,205.884,302.067,244.161,102.15,145.898,275.003,235.071,234.674,229.464,241.192,265.925,236.81,39.584,288.543,271.327,275.475,254.701,157.597,267.816,245.409,236.177,255.338,298.751,139.299,142.905,148.86,275.726,224.825,240.067,144.217,221.683,228.186,175.403,234.431,272.389,167.161, 
Campo Grande,71.43,111.931,3.131,207.546,141.477,6.942,61.999,50.176,40.157,23.512,249.134,0,114.41,35.104,64.568,24.047,103.639,80.476,45.781,22.528,114.229,120.593,18.357,28.433,26.142,54.709,18.767,237.15,83.396,37.36,147.986,5.652,56.813,31.301,74.874,24.229,18.51,46.326,119.657,24.678,42.662,34.262,58.373,23.923,22.853,80.584,30.221,44.948,94.193,237.771,220.531,123.983,157.003,42.017,51.465,28.69,44.402,104.622,47.953,11.334,147.195,113.6,21.333,18.176,16.574,82.595,17.398,33.027,18.711,213.327,34.429,21.987,20.122,51.665,147.754,55.079,53.215,18.256,41.544,44.637,107.581,154.84,100.668,21.612,24.228,10.553,104.752,27.522,19.02,121.794,15.203,23.875,86.171, 
Zoquitln,37.095,203.279,117.542,112.039,82.034,116.543,153.347,141.524,131.505,119.515,153.627,114.41,0,95.599,55.43,120.386,7.916,67.646,124.985,109.379,10.141,127.85,104.732,124.294,123.605,118.278,95.229,193.528,37.861,128.833,174.177,117.9,116.636,82.855,97.797,111.08,109.983,91.151,25.759,125.683,134.136,130.762,149.847,115.396,109.346,93.73,129.746,130.738,108.773,178.969,198.478,30.996,162.406,133.491,81.706,120.164,105.382,117.869,139.427,108.951,52.635,42.825,116.858,104.635,97.903,92.685,114.305,124.5,99.013,118.767,125.903,117.512,116.461,121.611,54.524,154.816,129.643,107.286,141.281,136.111,36.226,181.031,45.787,113.086,125.454,104.857,41.144,122.312,128.815,147.986,102.341,120.388,64.088, 
Necoxtla,53.105,123.973,38.236,186.513,89.217,37.237,74.041,62.218,52.199,40.208,228.101,35.104,95.599,0,46.39,42.27,85.461,60.428,59.139,26.297,96.051,133.951,21.415,10.339,45.489,68.067,23.541,250.508,65.218,50.718,161.344,39.784,70.171,36.075,88.232,27.998,31.868,10.88,99.609,11.727,56.02,52.647,71.731,37.281,25.977,93.942,51.631,58.306,107.551,251.129,233.889,103.935,170.361,55.375,56.239,42.048,24.354,117.98,61.311,30.835,127.147,93.552,38.742,21.745,21.348,95.953,27.866,46.385,23.484,193.279,47.787,39.396,38.345,34.247,82.829,76.701,66.573,22.851,63.166,57.995,87.533,168.198,80.62,34.97,11.499,26.741,84.704,7.517,14.86,135.152,21.104,42.272,66.123, 
Santa Mara del Monte,12.936,153.437,67.7,150.065,67.366,66.701,103.505,91.682,81.663,69.673,191.653,64.568,55.43,46.39,0,71.177,39.259,48.46,88.045,60.17,49.849,149.047,55.523,69.112,74.396,96.973,46.02,230.554,19.016,79.624,190.25,68.691,99.077,33.646,118.994,61.871,60.774,41.942,61.789,70.501,84.927,81.553,100.638,66.187,60.137,114.927,80.537,87.212,129.97,215.995,235.504,66.448,199.267,84.282,47.492,70.955,50.2,139.066,90.218,59.742,89.66,57.026,67.649,55.426,48.694,113.882,65.096,75.291,49.804,155.793,76.694,68.303,67.252,66.429,46.302,105.607,95.479,58.077,92.072,86.902,51.006,197.104,44.094,63.877,70.272,55.648,48.178,67.13,73.633,164.058,53.132,71.179,54.155, 
San Marcial,77.892,87.684,27.179,214.008,147.939,16.46,34.451,25.748,19.216,7.71,273.241,24.047,120.386,42.27,71.177,0,111.656,88.492,24.376,30.561,122.246,97.613,26.39,36.449,4.931,31.45,26.784,214.17,91.413,15.955,125.006,25.591,33.554,39.318,51.615,32.262,12.219,54.342,127.673,32.695,16.079,15.335,38.213,17.508,30.886,57.325,11.294,21.689,70.934,214.791,197.551,131.999,134.023,20.831,59.482,8.46,52.418,81.363,27.792,14.331,155.211,121.616,6.149,26.209,24.591,59.336,23.108,11.622,26.728,221.343,14.269,6.803,3.476,59.682,155.77,36.152,29.955,26.289,22.617,24.477,115.597,131.86,108.684,8.191,32.245,18.869,112.768,35.538,27.053,98.814,23.235,4.948,94.187, 
Acatepec (San Antonio),26.324,192.508,106.771,112.856,81.872,105.772,142.576,130.753,120.734,108.744,154.444,103.639,7.916,85.461,39.259,111.656,0,67.483,114.213,98.607,13.656,117.078,93.96,113.522,112.833,107.506,84.457,194.361,27.089,118.061,163.405,107.128,105.864,72.083,87.025,100.308,99.211,80.379,25.596,114.911,123.364,119.99,139.075,104.624,98.574,82.958,118.974,119.966,98.001,179.802,199.311,30.255,151.634,122.719,70.934,109.392,94.61,107.097,128.655,98.179,53.467,42.662,106.086,93.863,87.131,81.913,103.533,113.728,88.241,119.6,115.131,106.74,105.689,110.839,54.361,144.044,118.871,96.514,130.509,125.339,36.063,170.259,45.624,102.314,114.682,94.085,40.981,111.54,118.043,137.214,91.569,109.616,63.925, 
San Isidro Vista Hermosa,61.147,169.345,83.608,129.131,31.835,82.609,119.413,107.59,97.571,85.58,170.719,80.476,67.646,60.428,48.46,88.492,67.483,0,104.193,71.351,64.804,179.005,66.469,55.393,90.543,113.121,68.595,210.059,67.229,95.772,206.398,84.838,115.225,81.129,133.286,73.052,76.922,58.581,41.628,56.782,101.074,97.701,116.785,82.335,71.031,138.996,96.685,103.36,152.605,195.5,215.009,45.954,215.415,100.429,101.293,87.102,36.481,163.034,106.365,75.889,69.166,35.571,83.796,66.799,66.402,141.007,72.92,91.439,68.538,135.298,92.841,84.45,83.399,52.71,24.848,121.755,111.627,67.905,108.22,103.049,29.552,213.252,22.639,80.024,56.553,71.795,26.723,53.411,59.914,180.206,66.159,87.326,8.142, 
Cuichapa,94.76,93.122,48.913,230.877,164.808,34.144,65.292,31.463,43.45,22.883,262.884,45.781,124.985,59.139,88.045,24.376,114.213,104.193,0,46.594,130.358,67.28,42.423,52.482,24.396,12.257,42.816,203.344,107.445,8.473,114.18,43.484,10.512,55.35,27.551,48.295,28.252,70.375,143.706,48.727,46.4,20.663,62.11,33.541,46.919,33.261,16.623,18.824,46.87,203.965,186.725,148.032,123.197,45.754,35.811,32.428,68.451,57.299,51.69,32.224,171.244,137.649,20.191,42.242,40.623,35.272,39.141,12.912,42.76,264.263,38.166,19.463,25.099,75.714,171.803,40.724,23.622,42.322,27.189,48.374,131.63,121.034,124.717,25.349,48.277,38.043,128.801,51.571,43.086,87.988,39.268,20.919,110.22, 
Mariano Escobedo,66.885,111.414,25.66,198.035,133.07,24.661,61.482,49.659,39.64,27.649,239.623,22.528,109.379,26.297,60.17,30.561,98.607,71.351,46.594,0,109.611,121.276,6.361,20.304,32.814,55.391,14.149,237.833,78.778,38.043,148.669,27.092,57.495,26.683,75.556,1.883,19.192,37.102,110.433,16.118,43.345,39.971,59.056,24.605,3.556,81.266,38.955,45.63,94.875,238.454,221.214,114.759,157.686,42.7,46.847,29.373,35.178,105.304,48.636,18.143,137.971,104.376,26.067,5.235,11.956,83.277,11.505,33.71,14.093,204.103,35.112,26.721,25.67,43.537,93.653,64.025,53.897,4.91,50.49,45.32,98.357,155.523,91.444,22.295,15.432,14.048,95.528,18.298,11.714,122.477,8.34,29.597,76.946, 
Xitlama,36.914,203.098,117.361,107.781,79.741,116.362,153.166,141.343,131.324,119.334,149.369,114.229,10.141,96.051,49.849,122.246,13.656,64.804,130.358,109.611,0,127.668,104.55,124.112,123.423,118.096,95.047,189.269,37.679,128.651,173.995,117.718,116.454,82.673,97.615,110.898,109.801,90.969,23.465,125.501,133.954,130.58,149.665,115.214,109.164,93.548,129.564,130.556,108.591,174.71,194.219,26.737,162.224,133.309,81.524,119.982,105.2,117.687,139.245,108.769,48.376,40.531,116.676,104.453,97.721,92.503,114.123,124.318,98.831,114.508,125.721,117.33,116.279,121.429,52.23,154.634,129.461,107.104,141.099,135.929,33.932,180.849,43.493,112.904,125.272,104.675,38.85,122.13,128.633,147.804,102.159,120.206,61.794, 
Tetela,136.112,41.572,123.725,207.409,239.62,108.956,140.104,85.948,118.262,97.695,195.201,120.593,127.85,133.951,149.047,97.613,117.078,179.005,67.28,121.276,127.668,0,121.902,131.96,100.625,60.587,122.295,135.576,131.925,99.36,46.412,122.962,58.945,134.829,40.106,127.774,107.731,149.854,145.155,128.206,125.879,93.166,141.589,113.02,126.398,34.291,92.15,83.269,20.427,136.197,118.957,149.814,55.429,125.233,154.993,111.907,147.93,10.754,131.169,111.702,173.026,217.128,104.105,121.721,120.102,34.334,118.62,95.027,122.239,196.495,117.645,100.429,104.577,155.193,251.282,96.918,74.511,121.801,84.44,127.853,211.109,53.266,204.196,104.828,127.756,117.522,208.28,131.05,122.565,20.221,118.747,101.491,189.699, 
Fraccionamiento Valle Dorado,62.238,107.243,21.489,193.153,128.188,20.49,57.311,45.488,35.469,23.478,234.741,18.357,104.732,21.415,55.523,26.39,93.96,66.469,42.423,6.361,104.55,121.902,0,15.425,28.61,51.187,9.945,233.629,74.574,33.839,144.465,22.888,53.291,22.479,71.352,8.089,14.988,32.223,105.554,11.239,39.141,35.767,54.852,20.401,5.29,77.062,34.751,41.426,90.671,234.25,217.01,109.88,153.482,38.496,42.643,25.169,30.299,101.1,44.432,13.939,133.092,99.497,21.863,1.425,7.752,79.073,7.302,29.506,9.889,199.224,30.908,22.517,21.466,38.658,88.774,59.821,49.693,2.943,46.286,41.116,93.478,151.319,86.565,18.091,10.553,9.844,90.649,13.419,6.835,118.273,4.136,25.393,72.067, 
Agrcola Lzaro Crdenas,81.799,117.301,31.565,182.077,115.017,30.566,67.37,55.547,45.528,33.537,223.665,28.433,124.294,10.339,69.112,36.449,113.522,55.393,52.482,20.304,124.112,131.96,15.425,0,38.097,60.675,16.149,243.116,87.87,43.326,153.952,32.392,62.779,28.683,80.84,21.71,24.476,21.232,94.563,5.248,48.628,45.255,64.339,29.889,19.689,86.55,44.239,50.914,100.159,243.737,226.497,98.889,162.969,47.983,48.847,34.656,19.308,110.588,53.919,23.443,122.101,88.506,31.35,15.457,13.956,88.561,28.797,38.993,16.092,188.233,40.395,32.004,30.953,24.059,77.783,69.309,59.181,16.563,55.774,50.603,82.487,160.806,75.574,27.578,5.02,19.349,79.658,2.132,8.381,127.76,14.816,34.88,61.076, 
La Luz y Trinidad Palotal,81.111,85.966,29.274,217.227,151.158,18.555,29.928,24.03,21.059,9.181,271.523,26.142,123.605,45.489,74.396,4.931,112.833,90.543,24.396,32.814,123.423,100.625,28.61,38.097,0,30.488,28.59,213.209,93.219,14.994,124.045,27.63,32.592,41.124,50.653,34.069,14.026,56.149,129.48,34.501,15.347,14.373,36.833,19.315,32.693,56.363,10.332,20.727,69.972,213.83,196.59,133.806,133.062,20.099,61.288,12.151,54.225,80.401,29.638,16.37,157.018,123.423,7.425,28.016,26.397,58.374,24.915,10.661,28.534,223.15,14.788,6.697,7.603,61.488,157.577,35.19,28.993,28.096,21.655,23.097,117.404,130.899,110.491,11.123,34.051,20.908,114.575,37.345,28.86,97.853,25.042,3.986,95.994, 
Providencia,103.688,73.857,57.841,239.805,173.736,43.072,60.181,25.778,52.377,31.811,251.306,54.709,118.278,68.067,96.973,31.45,107.506,113.121,12.257,55.391,118.096,60.587,51.187,60.675,30.488,0,51.762,191.765,116.391,20.73,102.601,52.43,2.783,64.296,20.844,57.241,37.198,79.321,152.652,57.673,55.346,22.336,71.056,42.487,55.865,26.554,21.321,13.138,40.163,192.386,175.146,156.978,111.618,54.7,84.46,41.374,77.397,50.592,60.636,41.17,180.19,146.595,33.573,51.188,49.569,28.565,48.087,24.494,51.706,252.684,47.112,29.896,31.983,84.66,180.749,35.037,12.043,51.268,21.502,57.32,140.576,109.455,133.663,34.295,57.223,46.989,137.747,60.517,52.032,76.409,48.214,27.37,119.166, 
Tlilapan,52.735,107.636,21.899,195.279,129.21,20.9,57.704,45.881,35.862,23.872,236.867,18.767,95.229,23.541,46.02,26.784,84.457,68.595,42.816,14.149,95.047,122.295,9.945,16.149,28.59,51.762,0,233.732,64.967,33.942,144.568,23.009,53.395,12.872,71.456,16.189,15.092,34.654,107.985,13.006,39.245,35.871,54.956,20.505,14.455,77.166,34.855,41.53,90.775,234.353,217.113,112.311,153.585,38.6,33.036,25.273,32.73,101.204,44.536,14.06,135.523,101.928,21.967,9.744,3.013,79.177,19.414,29.609,4.122,201.655,31.012,22.621,21.57,39.993,136.082,59.925,49.797,12.395,46.39,41.22,95.909,151.422,88.996,18.195,12.556,9.966,93.08,15.85,9.898,118.376,7.45,25.497,74.499, 
San Pedro Ixcatln,217.619,142.983,240.282,86.105,224.997,225.513,256.661,202.505,234.819,214.252,73.897,237.15,193.528,250.508,230.554,214.17,194.361,210.059,203.344,237.833,189.269,135.576,233.629,243.116,213.209,191.765,233.732,0,215.167,211.727,105.645,235.329,189.103,247.196,176.705,240.141,220.098,262.221,165.392,240.573,238.246,205.533,253.956,225.387,238.765,170.89,204.517,195.636,157.026,15.987,20.316,160.965,122.663,237.6,267.36,224.274,260.297,147.353,243.536,224.069,138.851,182.599,216.472,234.088,232.469,170.933,230.987,207.394,234.606,76.285,230.012,212.796,216.944,267.56,194.298,209.285,186.878,234.168,196.807,240.22,176,84.374,185.561,217.195,240.123,229.889,180.918,243.417,234.932,116.872,231.114,213.858,203.862, 
Tepetzitzintla,6.081,172.265,86.528,136.878,86.134,85.529,122.333,110.51,100.491,88.501,178.466,83.396,37.861,65.218,19.016,91.413,27.089,67.229,107.445,78.778,37.679,131.925,74.574,87.87,93.219,116.391,64.967,215.167,0,92.42,177.806,81.487,111.873,46.442,101.426,74.667,73.57,54.738,44.221,89.269,97.723,94.349,113.434,78.983,72.933,97.359,93.333,100.008,112.402,198.427,217.936,48.88,166.035,97.078,43.84,83.751,68.968,121.498,103.014,72.538,72.092,61.287,80.445,68.222,61.49,96.314,77.892,88.087,62.6,138.225,89.49,81.099,80.048,85.197,65.07,118.403,108.275,70.873,104.868,99.698,54.688,184.66,64.249,76.673,89.04,68.444,59.606,85.898,92.401,151.615,65.928,83.975,72.923, 
